student_pid,State,Started on,Completed,Grade/10.00,topic,labType
spid1_UWYQ6YZSQ5LCKPKLLWCJFXEF66,Finished,08/02/2023 20:57,09/02/2023 11:48,10.0,C-String,Prelab
spid1_BMYX33WVVUHDI24OV72Q4GBNYW,Finished,08/02/2023 21:07,13/02/2023 12:46,10.0,C-String,Prelab
spid1_PNVTQ3D3AU5M4LV7TGROUMIA65,Finished,08/02/2023 21:12,09/02/2023 21:55,10.0,C-String,Prelab
spid1_LEPXBCQME2JFH7NAOZEC2636M3,Finished,08/02/2023 21:18,15/02/2023 21:18,0.0,C-String,Prelab
spid1_QMTJWYA3OSTROYSGBFQY7D3Z2W,Finished,08/02/2023 21:25,14/02/2023 7:52,6.06,C-String,Prelab
spid1_MFW7VLXK6AWRTRTWTDCIEY7YE5,Finished,08/02/2023 22:19,14/02/2023 7:35,10.0,C-String,Prelab
spid1_FH5KMXH3JGCARSIDZVNUUFIO3G,Finished,08/02/2023 22:53,09/02/2023 22:23,10.0,C-String,Prelab
spid1_GGNZUUNB33FT2LFC424JY5M3XE,Finished,08/02/2023 23:28,15/02/2023 23:28,0.0,C-String,Prelab
spid1_EP4ZQ4ITUQIEXQYIGXMI5KPAET,Finished,09/02/2023 7:35,09/02/2023 19:51,10.0,C-String,Prelab
spid1_UJXCBZEM25W7RB5QUYQ6XPLFRK,Finished,09/02/2023 8:46,11/02/2023 8:56,10.0,C-String,Prelab
spid1_MMKNM7Z5R2SJEH6R6ALVSYJ3WR,Finished,09/02/2023 8:58,09/02/2023 10:41,10.0,C-String,Prelab
spid1_YIY4FP62DY3JO4VEUKXB4T2QSZ,Finished,09/02/2023 9:21,16/02/2023 9:21,6.67,C-String,Prelab
spid1_HSDUVP6U7FZGCOGWXPTWAN5VR5,Finished,09/02/2023 9:45,09/02/2023 10:37,10.0,C-String,Prelab
spid1_NGNCBPF52F74H4YIY4CRA2TEFK,Finished,09/02/2023 10:56,16/02/2023 1:11,6.97,C-String,Prelab
spid1_62FYWC64S4X635FLV4BJ7S2MVB,Finished,09/02/2023 13:06,11/02/2023 4:03,10.0,C-String,Prelab
spid1_VYBQWCLZC4O5264Y5CHGVGQZLZ,Finished,09/02/2023 13:22,09/02/2023 13:39,10.0,C-String,Prelab
spid1_OCOQUHWLG2LZEQSTW5H5M5F3CI,Finished,09/02/2023 14:13,09/02/2023 22:55,10.0,C-String,Prelab
spid1_UQI3YNES32WAYODF5BGDCYZMGG,Finished,09/02/2023 15:19,12/02/2023 22:28,10.0,C-String,Prelab
spid1_KX66RVHINHUO3HDUNVT3HDVYJT,Finished,09/02/2023 15:19,12/02/2023 16:13,10.0,C-String,Prelab
spid1_VNLIH7P5WLVJN6W4T4I2JYZ2UU,Finished,09/02/2023 15:47,10/02/2023 6:51,8.48,C-String,Prelab
spid1_2EJAWMW7NLB7C5MYC6CWBZ5KE2,Finished,09/02/2023 16:42,14/02/2023 16:53,10.0,C-String,Prelab
spid1_XGUWZQ6OM7SIBNQFYWDC3IVHHP,Finished,09/02/2023 16:52,09/02/2023 21:02,10.0,C-String,Prelab
spid1_4JOROE65SOQBZGHPYC6U244U32,Finished,09/02/2023 19:58,13/02/2023 19:44,10.0,C-String,Prelab
spid1_MF3R2JMGMCHA37Q2KRXNSOXXLO,Finished,09/02/2023 20:12,16/02/2023 16:15,7.27,C-String,Prelab
spid1_VESBFVXZZP4RM6AX3KK6VVCJNK,Finished,09/02/2023 20:31,14/02/2023 15:20,10.0,C-String,Prelab
spid1_SNVH5KT5G5B5LFFNO6XWKEE7DD,Finished,09/02/2023 20:56,10/02/2023 0:53,10.0,C-String,Prelab
spid1_G4BHCLQAONZD2GPS4C3GN7XMCX,Finished,09/02/2023 23:48,16/02/2023 23:48,3.33,C-String,Prelab
spid1_PYLEML44JG7ANUAAGAIS42KPRL,Finished,10/02/2023 7:17,17/02/2023 7:17,0.0,C-String,Prelab
spid1_GH22SVH4I23CAIDMSA2DHH57SC,Finished,10/02/2023 7:25,11/02/2023 13:34,10.0,C-String,Prelab
spid1_576QFHCBTGTWILJKSK3JQDM7PU,Finished,10/02/2023 8:58,17/02/2023 8:58,0.0,C-String,Prelab
spid1_3G2TGQJ6WZGYOUTKIRBEIPIL46,Finished,10/02/2023 10:14,10/02/2023 17:43,10.0,C-String,Prelab
spid1_N2BYVCGFKPTPOPL7W4Q65GSCSU,Finished,10/02/2023 10:41,12/02/2023 0:52,7.58,C-String,Prelab
spid1_FXI7XMDE5MT5GLSBGCCJKSW5GS,Finished,10/02/2023 10:43,11/02/2023 9:51,6.36,C-String,Prelab
spid1_VNLIH7P5WLVJN6W4T4I2JYZ2UU,Finished,10/02/2023 11:25,17/02/2023 11:25,10.0,C-String,Prelab
spid1_7LL4V7F6R26622L77JMXJNU57S,Finished,10/02/2023 11:49,12/02/2023 0:10,10.0,C-String,Prelab
spid1_URZ33S2NQTSZWHNHMFHBUZCP3V,Finished,10/02/2023 12:56,11/02/2023 9:25,10.0,C-String,Prelab
spid1_GANB5KHVSBXWZLWQPCSF7WR46A,Finished,10/02/2023 13:16,13/02/2023 13:56,10.0,C-String,Prelab
spid1_WWI5NPPUTFZSYCEWJD5KPBIYWA,Finished,10/02/2023 13:17,17/02/2023 13:17,0.0,C-String,Prelab
spid1_ZU3QMN3GU3P3LDTT45AZOUMOF5,Finished,10/02/2023 13:54,17/02/2023 13:54,1.52,C-String,Prelab
spid1_XCR7VNBOKJRQ2M5EFK5XGW2M5I,Finished,10/02/2023 14:18,10/02/2023 15:38,10.0,C-String,Prelab
spid1_EI7P54KJ4LNXX6PBALANPSPFRM,Finished,10/02/2023 14:22,17/02/2023 14:22,0.0,C-String,Prelab
spid1_ZBTNDDJB26MSE6UHA6S3DCBR2S,Finished,10/02/2023 14:35,17/02/2023 10:28,10.0,C-String,Prelab
spid1_L7JUFL2CUTPLWZGAH6HSXIJMWI,Finished,10/02/2023 14:37,10/02/2023 16:19,8.18,C-String,Prelab
spid1_WUGDG3VLOHDX3HEBCPF4VPZREP,Finished,10/02/2023 14:52,10/02/2023 21:40,10.0,C-String,Prelab
spid1_PNRATBNFO7X2FCAKTF64QGVXK6,Finished,10/02/2023 14:54,11/02/2023 16:23,10.0,C-String,Prelab
spid1_WSDBOFUCPSB5VTY2CHY3KBJX4P,Finished,10/02/2023 15:12,17/02/2023 15:12,0.61,C-String,Prelab
spid1_LCV5MJSOGRBWFSLY6ZKXDFWTC7,Finished,10/02/2023 15:24,11/02/2023 13:38,10.0,C-String,Prelab
spid1_33CIFBWYCAVNURVHCUTCGHIYLE,Finished,10/02/2023 16:12,16/02/2023 22:30,10.0,C-String,Prelab
spid1_NJ7VEQQPW3VHPYJ5IWANDTV64Z,Finished,10/02/2023 16:15,17/02/2023 16:15,0.0,C-String,Prelab
spid1_VCK36IWUGCXTUJJ2UNJTKJENTJ,Finished,10/02/2023 16:46,10/02/2023 17:34,10.0,C-String,Prelab
spid1_CNRGEWG65WPNYTJ5OV7ORZOAZF,Finished,10/02/2023 17:38,15/02/2023 14:49,6.06,C-String,Prelab
spid1_B47ZVGLZHPHNJQKLUQTPGYNQRJ,Finished,10/02/2023 17:39,17/02/2023 17:39,7.27,C-String,Prelab
spid1_4VDVYHBQFNGGLLHJV6E2C5LIYZ,Finished,10/02/2023 19:18,10/02/2023 20:33,10.0,C-String,Prelab
spid1_Y2F476JQHEKTV4IXXMBIS4RAAV,Finished,10/02/2023 19:24,10/02/2023 20:16,10.0,C-String,Prelab
spid1_7FL6KIQIDNUHYVBAWJPUITJKIM,Finished,10/02/2023 19:48,14/02/2023 20:37,10.0,C-String,Prelab
spid1_TAVZAE4YTQVUZ5F5K4CADLZTX3,Finished,10/02/2023 20:04,10/02/2023 22:11,10.0,C-String,Prelab
spid1_2GXJ25K35G7R4QWN4AWMGQRZP5,Finished,10/02/2023 20:34,17/02/2023 20:34,0.0,C-String,Prelab
spid1_YHXVWP7BJZN5BMXI4SN2IMQ4Y3,Finished,10/02/2023 20:58,11/02/2023 17:37,8.18,C-String,Prelab
spid1_ITB6LJNUPHABQRKAEOMHONC5BZ,Finished,10/02/2023 21:09,10/02/2023 22:20,10.0,C-String,Prelab
spid1_VDGMCWQELLIUK6JNQ7SLJDHRIG,Finished,10/02/2023 21:19,17/02/2023 21:19,10.0,C-String,Prelab
spid1_RUKFT3EBVNB5SIKS6K2ZXXPZCL,Finished,10/02/2023 21:20,11/02/2023 9:29,10.0,C-String,Prelab
spid1_ITRBPEL72ZQI2KTA7ZVJVZILNT,Finished,10/02/2023 21:24,17/02/2023 11:00,10.0,C-String,Prelab
spid1_JUCFQJS7TUSV5JKKHF3I6M2TOK,Finished,10/02/2023 21:29,10/02/2023 23:30,10.0,C-String,Prelab
spid1_4YJCEOQTD3DJWBFQUTTSF3JOX6,Finished,10/02/2023 21:39,17/02/2023 21:39,0.0,C-String,Prelab
spid1_5UGWJ6YIMBHYX7RTHVAXY2A77H,Finished,10/02/2023 22:04,16/02/2023 14:23,10.0,C-String,Prelab
spid1_OBQTFXU23CKBWEW4FZT5PSHCLY,Finished,10/02/2023 22:08,11/02/2023 2:10,10.0,C-String,Prelab
spid1_5JNK747G4QEQN5F3XZXGS7UW4G,Finished,10/02/2023 22:17,10/02/2023 22:42,10.0,C-String,Prelab
spid1_IFV2D2T42KFGAZQN3X7NSHSDLZ,Finished,10/02/2023 22:24,12/02/2023 22:48,10.0,C-String,Prelab
spid1_RBRGV2APXGRGMBAUMMGIEVOCRP,Finished,10/02/2023 22:42,11/02/2023 15:45,10.0,C-String,Prelab
spid1_3KYUZM4VL6UEUSUOLNHLEMQNWG,Finished,10/02/2023 22:44,11/02/2023 19:52,6.97,C-String,Prelab
spid1_CHUH5EJKMXWU5QMWBFZN64TNHN,Finished,10/02/2023 22:50,15/02/2023 0:47,10.0,C-String,Prelab
spid1_QSMBQG7S7YR42F26MYZNPOFS23,Finished,10/02/2023 23:06,17/02/2023 23:06,3.33,C-String,Prelab
spid1_ZZQKBC45KYNT7H6HLKYIQGOSZX,Finished,10/02/2023 23:12,13/02/2023 23:30,10.0,C-String,Prelab
spid1_VLI25PSHYBKBEFSZ6FELGTCP4T,Finished,10/02/2023 23:44,16/02/2023 13:14,10.0,C-String,Prelab
spid1_UW25JJYZPCTHQB6X74PJMNWIZZ,Finished,11/02/2023 0:04,11/02/2023 0:09,10.0,C-String,Prelab
spid1_KFDP22DUHSFP777JP2M35QUBVG,Finished,11/02/2023 0:22,18/02/2023 0:22,0.0,C-String,Prelab
spid1_QYKZ4IO2IMYGY6VDJMKQEOJC4N,Finished,11/02/2023 0:22,17/02/2023 21:56,10.0,C-String,Prelab
spid1_7T5EBHB6WEBBJ2CDYTJZDI3KJX,Finished,11/02/2023 0:28,18/02/2023 0:28,0.0,C-String,Prelab
spid1_3SHMD43W7ZF7XIT66PI5GTM26O,Finished,11/02/2023 0:41,15/02/2023 20:06,10.0,C-String,Prelab
spid1_XOJQMC6CWJE4QD6QAENW5RFFAR,Finished,11/02/2023 1:38,16/02/2023 1:08,6.97,C-String,Prelab
spid1_VRK6YSJ4ZYTPEQNPJRR65SLCL5,Finished,11/02/2023 7:15,11/02/2023 22:43,10.0,C-String,Prelab
spid1_2FKJ4KCYKAAEADGY5AYAOFEM4B,Finished,11/02/2023 7:15,17/02/2023 21:07,10.0,C-String,Prelab
spid1_QLOW4NJAUWTUTJIWXCV33PBOVC,Finished,11/02/2023 7:23,17/02/2023 20:11,10.0,C-String,Prelab
spid1_V2BSSQSN5LKVTDHWC5YBGXFINK,Finished,11/02/2023 7:29,16/02/2023 10:10,9.39,C-String,Prelab
spid1_WTNCYHY4QTGNZBH3WKQD6PUILW,Finished,11/02/2023 7:32,18/02/2023 7:32,0.0,C-String,Prelab
spid1_BKHTCAAQR5TA4KDN4WDE3TWV2J,Finished,11/02/2023 7:35,16/02/2023 20:50,8.48,C-String,Prelab
spid1_7BDPJCGPUTFLUHTF3CEXALJTMI,Finished,11/02/2023 7:36,17/02/2023 23:28,10.0,C-String,Prelab
spid1_YEGUR6TLWIURSWN4L7UUPTN6JS,Finished,11/02/2023 7:41,18/02/2023 7:41,0.0,C-String,Prelab
spid1_3GWN3SCWMRUBNPDIHV6VQGMS2U,Finished,11/02/2023 8:01,18/02/2023 8:01,0.0,C-String,Prelab
spid1_UTKYGAK6DWF3GFXJBPFOXDRNFA,Finished,11/02/2023 8:03,13/02/2023 21:22,10.0,C-String,Prelab
spid1_3MKOHWII67KUJQ3RZNWM5KV5QA,Finished,11/02/2023 8:24,11/02/2023 22:32,10.0,C-String,Prelab
spid1_L7JUFL2CUTPLWZGAH6HSXIJMWI,Finished,11/02/2023 8:31,11/02/2023 8:56,10.0,C-String,Prelab
spid1_C627DGQSL3DRLZBO5OMSLVNL7Y,Finished,11/02/2023 9:15,15/02/2023 21:39,10.0,C-String,Prelab
spid1_OXPX2ICXRGEH77REVMQNWB7IU6,Finished,11/02/2023 9:36,11/02/2023 9:46,10.0,C-String,Prelab
